|input
557|the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .
558|my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .
559|from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .
560|considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .
561|i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .
562|nice family owned traditional restaurant .
563|i was pleasantly surprised to find this gem in hoboken .
564|i found the food to be outstanding , particulary the salmon dish i had .
565|i also ordered the change mojito , which was out of this world .
566|my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .
567|we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .
568|overall , excellent restaurant !
569|the food was good .
570|the place was nice and calm .
571|but the service was a bit slow .
572|the buffet had a nice selection .
573|the food was average or above including some surprising tasty dishes .
574|service was also very good .
575|i would go back .
576|i got an excellent piece of cheesecake and we had several other nice pastries .
577|i would recommend roxy ' s for that , but not for their food .
578|my son and his girlfriend both wanted cheeseburgers and they were huge !
579|but , they were too big for the bun .
580|consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .
581|also they were $ 15 each !
582|i had a huge pastrami sandwich on a roll .
583|it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !
584|this place is really trendi but they have forgotten about the most important part of a restaurant , the food .
585|the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .
586|and the tom kha soup was pathetic .
587|if you want good authentic thai this place is not the place to go .
588|we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .
589|the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i ' d never heard of before .
590|conveniently located too , being right on bedford ave .
591|the back garden sitting area is very pleasant , where you can see their personal herb garden .
592|we had the lobster sandwich and it was fantastic .
593|my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .
